profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
hernametyla,https://www.tiktok.com/@hernametyla/video/7351339107081129221?_r=1&_t=ZP-8xbIOS79WGM,12700000,760900,49800,4598,12.7M,760.9K,49.8K,4598,2025-06-29T15:44:51.552987
hernametyla,https://www.tiktok.com/@hernametyla/video/7374140317206842629?_r=1&_t=ZP-8xbIOS79WGM,57200000,6700000,437300,10200,57.2M,6.7M,437.3K,10.2K,2025-06-29T15:45:07.552175
hernametyla,https://www.tiktok.com/@hernametyla/video/7269345996604263685?_r=1&_t=ZP-8xbIOS79WGM,161100000,11800000,815500,23900,161.1M,11.8M,815.5K,23.9K,2025-06-29T15:45:21.980324
hernametyla,https://www.tiktok.com/@hernametyla/video/7519823049085046022?_r=1&_t=ZP-8xbIOS79WGM,1100000,172200,6711,2015,1.1M,172.2K,6711,2015,2025-06-29T15:45:40.969685
hernametyla,https://www.tiktok.com/@hernametyla/video/7519221158311365894?_r=1&_t=ZP-8xbIOS79WGM,759400,101700,8040,1911,759.4K,101.7K,8040,1911,2025-06-29T15:45:54.615111
hernametyla,https://www.tiktok.com/@hernametyla/video/7517788832432016696?_r=1&_t=ZP-8xbIOS79WGM,550100,39000,2883,947,550.1K,39K,2883,947,2025-06-29T15:46:08.848330
hernametyla,https://www.tiktok.com/@hernametyla/video/7517187958806547718?_r=1&_t=ZP-8xbIOS79WGM,560100,40900,1600,639,560.1K,40.9K,1600,639,2025-06-29T15:46:22.324343
hernametyla,https://www.tiktok.com/@hernametyla/video/7516759767306603781?_r=1&_t=ZP-8xbIOS79WGM,4200000,951800,37400,2845,4.2M,951.8K,37.4K,2845,2025-06-29T15:46:35.372660
hernametyla,https://www.tiktok.com/@hernametyla/video/7516289007316176184?_r=1&_t=ZP-8xbIOS79WGM,749000,109700,4418,1299,749K,109.7K,4418,1299,2025-06-29T15:46:51.898492
hernametyla,https://www.tiktok.com/@hernametyla/video/7515930855756369208?_r=1&_t=ZP-8xbIOS79WGM,688000,70500,1908,941,688K,70.5K,1908,941,2025-06-29T15:47:09.286133
