profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7489473596662762774?_r=1&_t=ZP-8xbEVuFN1jz,17300000,3300000,175000,4351,17.3M,3.3M,175K,4351,2025-06-29T15:45:01.054834
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7479050898803576086?_r=1&_t=ZP-8xbEVuFN1jz,1400000,51800,1969,280,1.4M,51.8K,1969,280,2025-06-29T15:45:28.857286
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7473608310671904022?_r=1&_t=ZP-8xbEVuFN1jz,1600000,256899,8211,1720,1.6M,256.9K,8211,1720,2025-06-29T15:45:59.267321
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7519209206507998486?_r=1&_t=ZP-8xbEVuFN1jz,4822,553,19,13,4822,553,19,13,2025-06-29T15:46:22.554121
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7518555927520316694?_r=1&_t=ZP-8xbEVuFN1jz,37800,8566,196,71,37.8K,8566,196,71,2025-06-29T15:46:45.729689
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7518543630240451862?_r=1&_t=ZP-8xbEVuFN1jz,34700,6998,104,79,34.7K,6998,104,79,2025-06-29T15:47:16.335237
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7515533623852895510?_r=1&_t=ZP-8xbEVuFN1jz,30800,5614,107,175,30.8K,5614,107,175,2025-06-29T15:47:46.570623
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7515094052505783554?_r=1&_t=ZP-8xbEVuFN1jz,12800,1987,63,34,12.8K,1987,63,34,2025-06-29T15:48:16.853741
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7514050850843561238?_r=1&_t=ZP-8xbEVuFN1jz,11100,1489,45,36,11.1K,1489,45,36,2025-06-29T15:49:02.516911
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7513384258329758998?_r=1&_t=ZP-8xbEVuFN1jz,16400,2237,52,36,16.4K,2237,52,36,2025-06-29T15:49:38.644812
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7512851574562065686?_r=1&_t=ZP-8xbEVuFN1jz,17800,3631,88,54,17.8K,3631,88,54,2025-06-29T15:50:10.716900
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7512203227190938902?_r=1&_t=ZP-8xbEVuFN1jz,36900,6592,186,60,36.9K,6592,186,60,2025-06-29T15:50:39.427611
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7512148205400837398?_r=1&_t=ZP-8xbEVuFN1jz,17500,2741,31,50,17.5K,2741,31,50,2025-06-29T15:51:08.641773
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7511788391814483222?_r=1&_t=ZP-8xbEVuFN1jz,10600,1307,35,54,10.6K,1307,35,54,2025-06-29T15:51:32.015688
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7511457843510398230?_r=1&_t=ZP-8xbEVuFN1jz,21100,3693,102,92,21.1K,3693,102,92,2025-06-29T15:51:56.267264
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7510568871561088278?_r=1&_t=ZP-8xbEVuFN1jz,20200,2148,44,23,20.2K,2148,44,23,2025-06-29T15:52:17.144007
